id,title,company_name,city,city_geocode,department,skill
205ZFLT,Ingénieur IA (H/F),LACOUR CONCEPT,St Doulchard,"St Doulchard, 18, France",18,aws
206CVRQ,Data engineer - Lyon (69) (H/F),EPSYL,Lyon 01,"Lyon 01, 69, France",69,aws
206CXZT,Scientifique des données (H/F),SCHAEFFLER FRANCE,Toulouse,"Toulouse, 31, France",31,aws
206DVGB,Scientifique des données (H/F),SCHAEFFLER FRANCE,Boussens,"Boussens, 31, France",31,aws
206FTWR,Chef de projet exploitation DATA OPS (H/F),CIORANE,Seine-Saint-Denis,"Seine-Saint-Denis, 93, France",93,aws
206HGSQ,Data Engineer / Data Scientist (H/F),ADHOC CONSULT,Paris 14,"Paris 14, 75, France",75,aws
206HLRV,Développeur fullstack (H/F),FRANCE DETECTION SERVICES,Le Thor,"Le Thor, 84, France",84,aws
7770601,Consultant Senior MLOPS Engineer h/f,,Paris,"Paris, 75, France",75,aws
8208256,Data Engineer DataIku - Services Financiers - Ile-de-France (H/F),,Paris,"Paris, 75, France",75,aws
8462713,Développeur Node JS Confirmé F/H h/f,,Rhône,"Rhône, 69, France",69,aws
8536253,Consultant business intelligence (H/F),,Hauts-De-Seine,"Hauts-De-Seine, 92, France",92,aws
8788815,Consultant Analytics & IA Transverse DCoE - France (H/F),,Nanterre,"Nanterre, 92, France",92,aws
9040719,Responsable PHP Magento (H/F),Manpower,Tours,"Tours, 37, France",37,aws
9072633,BI-Data Team Lead (M/F) (H/F),,,,No,aws
9262101,Développeur Java confirmé F/H h/f,,Grenoble,"Grenoble, 38, France",38,aws
9307334,DÉVELOPPEUR .NET - H/F,ATOL CONSEILS ET DEVELOPPEMENTS,Besançon,"Besançon, 25, France",25,aws
9367824,Développeur Senior React (Typescript) & Node (H/F),,Paris,"Paris, 75, France",75,aws
9458129,Data manager (H/F),,Paris,"Paris, 75, France",75,aws
9669765,Consultante - Consultant Fonctionnel Plm H/F,Capgemini,Bordeaux,"Bordeaux, 33, France",33,aws
9771478,Lead Tech Java / Angular - Contexte international (H/F),Externatic,Cholet,"Cholet, 49, France",49,aws
9771599,Développeur Full Stack Senior JavaScript / TypeScript (React / NestJS) (H/F),Externatic,Nantes,"Nantes, 44, France",44,aws
9771672,Ingénieur IA & agents autonomes / Industry 4.0 F/H,Externatic,Rennes,"Rennes, 35, France",35,aws
9771916,Développeur fullstack JS H/F,,Paris,"Paris, 75, France",75,aws
9771942,Développeur fullstack JS H/F,,Lamentin,"Lamentin, 972, France",972,aws
9774000,Développeur Full-Stack Node/VueJS H/F,ISAGRI,Beauvais,"Beauvais, 60, France",60,aws
9801812,Data manager (H/F),,Paris,"Paris, 75, France",75,aws
9804087,Lead Dev Fullstack Vue Javascript (H/F),,Paris,"Paris, 75, France",75,aws
9916491,"Ingénieur Data / Data Scientist - Secteur Aéronautique F/H - Système, réseaux, données (H/F)",AKKODIS FRANCE SAS,Marignane,"Marignane, 13, France",13,aws
9959610,Ingénieur / Ingénieure R&D en industrie (404441) (H/F),bioMérieux sa,Marcy-L'Étoile,"Marcy-L'Étoile, 69, France",69,aws
9991346,DÉVELOPPEUR .NET - H/F,ATOL CONSEILS ET DEVELOPPEMENTS,Dijon,"Dijon, 21, France",21,aws
0025521,Développeur d'application net (H/F),,Beynost,"Beynost, 01, France",01,azure
0082991,Data manager (H/F),,Paris,"Paris, 75, France",75,azure
0089754,Lead Developpeur SIG (ESRI ou OpenSource) F/H,,Paris,"Paris, 75, France",75,azure
0110213,Analytics Engineer - Supply & Material Planning (f/m/d) (H/F),,Villeneuve-D'Ascq,"Villeneuve-D'Ascq, 59, France",59,azure
0129312,Alternance Data Analyst - Croix (H/F),,Croix,"Croix, 59, France",59,azure
0194400,Architecte Cloud Azure  (H/F/NB),,Puteaux,"Puteaux, 92, France",92,azure
0196938,Data manager (H/F),,Lille,"Lille, 59, France",59,azure
0301359,Architecte Data (H/F),,Saint-Denis,"Saint-Denis, 11, France",11,azure
0319409,"Architecte Data F/H - Système, réseaux, données (H/F)",MICHAEL PAGE INTERNATIONAL FRANCE,Courbevoie,"Courbevoie, 92, France",92,azure
0394647,Expert en Stratégie DATA - Directeur - Entité de spécialité DATA (H/F),,Nanterre,"Nanterre, 92, France",92,azure
0407258,Data Engineer DataIku - Services Financiers – Lille  (H/F),,Lezennes,"Lezennes, 59, France",59,azure
0407525,Big Data Engineer - Services Financiers - Ile de France  (H/F),,Paris 1Er Arrondissement,"Paris 1Er Arrondissement, 75, France",75,azure
0407632,Tech Lead Full Stack - Services Publics - Strasbourg (H/F),,Strasbourg,"Strasbourg, 67, France",67,azure
0407799,Alternance – Data scientist F/H,,Lyon 1Er Arrondissement,"Lyon 1Er Arrondissement, 69, France",69,azure
0408525,Développeur (se) .NET / SharePoint - Aéroline - Ile de France (H/F),,Nanterre,"Nanterre, 92, France",92,azure
0408583,Data Engineer DataIku - Services Financiers – Ile-de-France (H/F),,Paris 1Er Arrondissement,"Paris 1Er Arrondissement, 75, France",75,azure
0408677,Développeur(se) - Java & Cloud - Services Publics - Bordeaux (H/F),,Bordeaux,"Bordeaux, 33, France",33,azure
0430036,Data Engineer/DataOps - Maintenance prédictive - Python/Spark (H/F),,Toulouse,"Toulouse, 31, France",31,azure
0431214,Architecte / Lead Tech Java & JavaScript (React | Vue | Angular) (H/F),,Villeurbanne,"Villeurbanne, 69, France",69,azure
0431236,Développeur / Développeuse Fullstack Java& JavaScript (React | Vue | Angular) (H/F),,Villeurbanne,"Villeurbanne, 69, France",69,azure
0431253,Développeur / Développeuse Fullstack .Net & JavaScript (React | Vue | Angular) (H/F),,Villeurbanne,"Villeurbanne, 69, France",69,azure
0438104,"Data Scientist / Machine Learning Engineer F/H - Système, réseaux, données (H/F)",FAB GROUP,Pau,"Pau, 64, France",64,azure
0438974,Stage Développeur Web .Net F/H,,Paris,"Paris, 75, France",75,azure
0439426,Data Architecte H/F,,Relecq-Kerhuon,"Relecq-Kerhuon, 29, France",29,azure
0460293,Tech Lead Data et IA Générative H/F,JEMS,Nantes,"Nantes, 44, France",44,azure
0460511,Tech Lead Data Engineer H/F,JEMS,Levallois-Perret,"Levallois-Perret, 92, France",92,azure
0460530,Data Engineer H/F,JEMS,Nantes,"Nantes, 44, France",44,azure
0463826,Alternance – Développeur/se Full Stack - Services Financiers – Rouen (H/F),,Rouen,"Rouen, 76, France",76,azure
0465897,Alternance – Développeur/se Full Stack - Services Financiers – Rouen (H/F),,Rouen,"Rouen, 76, France",76,azure
0465983,Alternance - Développeur(se) Fullstack – Services Financiers – Tours (H/F),,Tours,"Tours, 37, France",37,azure
0465987,Alternance - Développeur(se) Fullstack – Services Financiers – Niort (H/F),,Niort,"Niort, 79, France",79,azure
0466019,Alternance - Développeur(se) Fullstack – Services Financiers – Orléans (H/F),,Orléans,"Orléans, 45, France",45,azure
0466084,Alternance – Data Engineer – Services Financiers – Data factory -Nantes (H/F),,Nantes,"Nantes, 44, France",44,azure
0466087,Alternance - Développeur/se .NET - Services Financiers - Lyon (H/F),,Lyon 1Er Arrondissement,"Lyon 1Er Arrondissement, 69, France",69,azure
0479902,BUSINESS INTELLIGENCE (BI) ANALYST (H/F),,,,No,azure
0481782,Data Engineer Cloud (H/F),PROSOL,Chaponnay,"Chaponnay, 69, France",69,azure
0499969,Développeur Java (H/F),,Marseille,"Marseille, 13, France",13,azure
0502584,Ingénieur(e) Data et Architecte Infrastructure (H/F),,Argenteuil,"Argenteuil, 95, France",95,azure
0505986,Alternance – Développeur/se Full Stack - Services Financiers – Rouen (H/F),,Rouen,"Rouen, 76, France",76,azure
0506069,Alternance - Développeur(se) Fullstack – Services Financiers – Orléans (H/F),,Orléans,"Orléans, 45, France",45,azure
0506128,Alternance - Développeur(se) Fullstack – Services Financiers – Tours (H/F),,Tours,"Tours, 37, France",37,azure
0506139,Alternance - Développeur(se) Fullstack – Services Financiers – Niort (H/F),,Niort,"Niort, 79, France",79,azure
0506274,Alternance - Développeur/se .NET - Services Financiers - Lyon (H/F),,Lyon 1Er Arrondissement,"Lyon 1Er Arrondissement, 69, France",69,azure
0506285,Alternance – Data Engineer – Services Financiers – Data factory -Nantes (H/F),,Nantes,"Nantes, 44, France",44,azure
0530176,Cegid - Développeur / Développeuse informatique (H/F),,Lyon,"Lyon, 69, France",69,azure
0533357,Data Engineer @IoT - H/F,Externatic,Roche-Sur-Yon,"Roche-Sur-Yon, 85, France",85,azure
0543866,Alternance – Développeur/se Full Stack - Services Financiers – Rouen (H/F),,Rouen,"Rouen, 76, France",76,azure
0544018,Alternance Ingénieur(e) Développement NodeJS - BL Région - Lyon (H/F),,Lyon 1Er Arrondissement,"Lyon 1Er Arrondissement, 69, France",69,azure
0544047,Alternance - Développeur(se) Fullstack – Services Financiers – Orléans (H/F),,Orléans,"Orléans, 45, France",45,azure
0544057,Alternance - Développeur(se) Fullstack – Services Financiers – Tours (H/F),,Tours,"Tours, 37, France",37,azure
0544104,Alternance - Développeur(se) Fullstack – Services Financiers – Niort (H/F),,Niort,"Niort, 79, France",79,azure
0544222,Alternance - Développeur/se .NET - Services Financiers - Lyon (H/F),,Lyon 1Er Arrondissement,"Lyon 1Er Arrondissement, 69, France",69,azure
0544229,Alternance – Data Engineer – Services Financiers – Data factory -Nantes (H/F),,Nantes,"Nantes, 44, France",44,azure
0607536,Alternance – Développeur/se Full Stack - Services Financiers – Rouen (H/F),,Rouen,"Rouen, 76, France",76,azure
0607653,Consultant Analytics & IA Transverse DCoE - France (H/F),,Nanterre,"Nanterre, 92, France",92,azure
0607763,Alternance Ingénieur(e) Développement NodeJS - BL Région - Lyon (H/F),,Lyon 1Er Arrondissement,"Lyon 1Er Arrondissement, 69, France",69,azure
0607784,Alternance - Développeur(se) Fullstack – Services Financiers – Orléans (H/F),,Orléans,"Orléans, 45, France",45,azure
0607817,Alternance - Développeur(se) Fullstack – Services Financiers – Tours (H/F),,Tours,"Tours, 37, France",37,azure
